Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Fort Rucker,2,"$4,983,333","$5,700,000","$7,073,666,666,667","$2,659,637","$1,085,792"
Goleta,2,"$904,469","$496,438","$1,047,140,483,073","$1,023,299","$511,649"
San Nicolas de los Garza,2,"$562,286","$411,000","$106,116,988,095","$325,756","$123,124"
Flint,2,"$2,700,000","$1,675,000","$7,362,171,428,571","$2,713,332","$959,308"
Fort Walton Beach,2,"$1,445,000","$1,100,000","$888,875,000,000","$942,802","$421,634"
Glendora,2,"$329,917","$308,250","$16,866,741,667","$129,872","$53,020"
Glen Cove,2,"$6,977,909","$7,100,000","$37,368,871,090,909","$6,113,008","$1,843,141"
Gary,2,"$2,704,750","$2,875,000","$1,210,009,144,737","$1,100,004","$245,968"
Shelby,2,"$903,938","$853,751","$327,549,255,322","$572,319","$202,345"
Farmington,2,"$1,069,050","$496,250","$1,200,670,969,444","$1,095,751","$346,507"
Oranjestad,1,"$530,000","$530,000","$338,000,000","$18,385","$13,000"
Walnut Creek,1,"$13,491,252","$14,175,000","$7,961,716,042,225","$2,821,651","$892,284"
Orangeburg,1,"$1,700,000","$1,700,000",$0,$0,$0
Pacifica,1,"$403,000","$403,000",$nan,$nan,$nan
Walla Walla,1,"$1,993,125","$1,197,500","$3,842,392,410,714","$1,960,202","$693,036"
Ozone Park,1,"$700,000","$700,000",$nan,$nan,$nan
Santiago Rodriguez,1,"$5,379,100","$3,800,000","$28,988,338,544,444","$5,384,082","$1,702,596"
Vincennes,1,"$2,373,200","$1,812,500","$3,788,647,955,556","$1,946,445","$615,520"
Santa Teresa del Tuy,1,"$6,025,000","$6,200,000","$2,291,458,333,333","$1,513,756","$572,146"
Oxford,1,"$396,390","$396,390",$nan,$nan,$nan
Oregon,1,"$210,000","$210,000",$nan,$nan,$nan
Santiago de Cuba,1,"$2,291,667","$2,200,000","$176,458,333,333","$420,069","$242,527"
Owensboro,1,"$2,170,857","$3,000,000","$3,288,156,809,524","$1,813,328","$685,373"
Voorhees,1,"$1,860,000","$465,000","$3,821,862,500,000","$1,954,958","$874,284"
Oregon City,1,"$395,000","$395,000",$nan,$nan,$nan
Otsuki,1,"$3,000,000","$3,000,000",$0,$0,$0
